Age,Attrition,BusinessTravel,Department,DistanceFromHome,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Higher_Education,Date_of_Hire,Date_of_termination,Status_of_leaving,Mode_of_work,Leaves,Absenteeism,Work_accident,Source_of_Hire,Job_mode
37,Yes,Travel_Rarely,Research & Development,2,Male,2,1,Laboratory Technician,3,Single,2090,6,Yes,15,3,0,7,3,0,0,0,Graduation,2021-01-21,,Salary,OFFICE,4,2,No,Job Event,Contract
21,No,Travel_Rarely,Research & Development,15,Male,3,1,Research Scientist,4,Single,1232,1,No,14,3,0,0,6,0,0,0,Graduation,2021-03-13,,Work Accident,WFH,5,2,No,Recruiter,Part Time
45,No,Travel_Rarely,Research & Development,6,Male,3,3,Research Director,1,Married,13245,4,Yes,14,3,0,17,3,0,0,0,Post-Graduation,2021-01-23,,Dept.Head,WFH,1,3,No,Job Event,Contract
23,No,Travel_Rarely,Sales,2,Male,3,1,Sales Representative,1,Divorced,2322,3,No,13,3,1,3,3,0,0,0,PHD,2021-04-25,,Work Accident,OFFICE,1,0,Yes,Recruiter,FullTime
22,No,Travel_Rarely,Research & Development,15,Female,3,1,Laboratory Technician,4,Single,2871,1,No,15,3,0,1,5,0,0,0,PHD,2021-06-14,,Better Opportunity,WFH,5,2,No,Job Event,Contract
19,Yes,Travel_Rarely,Sales,22,Male,3,1,Sales Representative,3,Single,1675,1,Yes,19,3,0,0,2,0,0,0,PHD,2021-04-14,,Work Accident,WFH,1,1,Yes,Job Portal,Part Time
19,Yes,Travel_Frequently,Sales,1,Female,1,1,Sales Representative,1,Single,2325,0,No,21,4,0,1,5,0,0,0,PHD,2021-01-12,,Work Accident,WFH,2,2,No,Walk-in,Contract
28,Yes,Travel_Rarely,Research & Development,2,Male,3,1,Laboratory Technician,3,Single,3485,2,No,11,3,0,5,5,0,0,0,Post-Graduation,2021-05-30,,Work Environment,WFH,0,2,No,Walk-in,Contract
29,No,Travel_Rarely,Sales,2,Male,2,2,Sales Executive,2,Married,6644,2,No,19,3,2,10,2,0,0,0,Graduation,2021-02-28,,Better Opportunity,OFFICE,5,2,No,Walk-in,Part Time
18,Yes,Travel_Rarely,Research & Development,3,Male,3,1,Laboratory Technician,3,Single,1420,1,No,13,3,0,0,2,0,0,0,PHD,2021-05-06,,Work Environment,WFH,5,2,No,Walk-in,FullTime
18,No,Travel_Rarely,Sales,10,Female,2,1,Sales Representative,3,Single,1200,1,No,12,3,0,0,2,0,0,0,12th,2021-06-17,,Work Environment,WFH,1,2,Yes,Job Portal,FullTime
47,No,Travel_Frequently,Sales,4,Male,3,2,Sales Representative,3,Single,2976,3,No,19,3,0,5,3,0,0,0,12th,2021-02-25,,Work Environment,WFH,5,0,Yes,Walk-in,FullTime
48,No,Travel_Rarely,Sales,29,Female,3,3,Manager,3,Married,12504,3,No,21,4,1,15,3,0,0,0,PHD,2021-05-06,,Work Accident,WFH,1,2,Yes,Job Event,Part Time
18,Yes,Travel_Frequently,Sales,5,Male,3,1,Sales Representative,2,Single,1878,1,Yes,14,3,0,0,3,0,0,0,Post-Graduation,2021-05-12,,Work Environment,WFH,3,2,No,Job Portal,FullTime
26,No,Travel_Rarely,Sales,29,Male,3,2,Sales Executive,3,Divorced,4306,5,No,12,3,2,8,5,0,0,0,Graduation,2021-05-25,,Dept.Head,WFH,0,3,Yes,Job Event,Part Time
38,No,Travel_Rarely,Research & Development,1,Female,3,1,Research Scientist,1,Single,2619,3,No,17,3,0,8,3,0,0,0,Graduation,2021-03-30,,Dept.Head,WFH,2,3,No,Walk-in,FullTime
34,No,Travel_Rarely,Research & Development,8,Female,3,2,Manufacturing Director,1,Divorced,5121,3,No,14,3,1,7,3,0,0,0,12th,2021-02-16,,Salary,WFH,3,0,No,Job Portal,Part Time
23,Yes,Travel_Rarely,Research & Development,6,Male,4,1,Laboratory Technician,1,Married,1601,1,Yes,21,4,2,1,2,0,0,0,Graduation,2021-03-10,,Dept.Head,OFFICE,2,1,Yes,Job Event,Part Time
30,No,Travel_Rarely,Research & Development,2,Female,2,2,Manufacturing Director,4,Single,6877,5,Yes,24,4,0,12,4,0,0,0,Graduation,2021-06-25,,Work Environment,WFH,3,3,Yes,Job Event,Part Time
27,No,Non-Travel,Research & Development,3,Male,3,1,Research Scientist,4,Married,1706,1,No,11,3,3,0,6,0,0,0,Graduation,2021-04-12,,Dept.Head,OFFICE,3,2,No,Job Portal,Contract
48,No,Travel_Rarely,Research & Development,20,Male,3,1,Research Scientist,3,Married,2259,4,No,17,3,2,13,2,0,0,0,Post-Graduation,2021-04-25,,Dept.Head,WFH,0,2,Yes,Walk-in,FullTime
29,Yes,Travel_Rarely,Research & Development,10,Female,2,1,Research Scientist,1,Single,2404,6,Yes,20,4,0,3,5,0,0,0,12th,2021-05-11,,Salary,WFH,1,0,No,Job Portal,FullTime
18,No,Non-Travel,Research & Development,5,Male,3,1,Research Scientist,4,Single,1051,1,No,15,3,0,0,2,0,0,0,Post-Graduation,2021-03-19,,Dept.Head,WFH,3,0,No,Job Portal,FullTime
50,Yes,Travel_Frequently,Sales,1,Male,3,2,Sales Executive,3,Single,4728,3,Yes,14,3,0,5,4,0,0,0,Graduation,2021-04-29,,Dept.Head,OFFICE,1,3,No,Recruiter,Part Time
34,No,Non-Travel,Research & Development,3,Male,2,1,Research Scientist,4,Married,2979,3,No,17,3,3,6,2,0,0,0,12th,2021-05-23,,Work Environment,WFH,0,2,No,Recruiter,Contract
18,Yes,Non-Travel,Research & Development,8,Male,3,1,Laboratory Technician,3,Single,1904,1,No,12,3,0,0,0,0,0,0,PHD,2021-01-06,,Work Accident,OFFICE,5,3,No,Recruiter,FullTime
22,Yes,Travel_Frequently,Research & Development,3,Male,2,1,Research Scientist,4,Married,2853,0,Yes,11,3,1,1,5,0,0,0,12th,2021-05-26,,Dept.Head,WFH,5,1,No,Walk-in,FullTime
44,No,Non-Travel,Research & Development,17,Male,1,1,Research Scientist,3,Single,2290,2,No,13,3,0,6,3,0,0,0,PHD,2021-01-04,,Work Accident,WFH,1,3,No,Recruiter,Contract
40,No,Travel_Frequently,Sales,2,Male,3,2,Sales Executive,2,Married,4327,5,No,12,3,3,5,2,0,0,0,Post-Graduation,2021-02-01,,Salary,WFH,2,3,Yes,Walk-in,FullTime
45,No,Travel_Frequently,Research & Development,25,Female,3,5,Manager,2,Single,18061,3,No,22,4,0,22,4,0,0,0,12th,2021-04-16,,Work Accident,OFFICE,4,3,Yes,Job Portal,Contract
18,No,Non-Travel,Research & Development,1,Female,3,1,Laboratory Technician,4,Single,1611,1,No,15,3,0,0,5,0,0,0,12th,2021-01-04,,Salary,WFH,1,3,Yes,Job Event,Part Time
24,Yes,Travel_Frequently,Research & Development,9,Male,3,1,Laboratory Technician,1,Single,3172,2,Yes,11,3,0,4,2,0,0,0,Graduation,2021-04-22,,Work Environment,OFFICE,5,2,Yes,Job Event,Part Time
28,Yes,Travel_Frequently,Research & Development,2,Male,2,1,Laboratory Technician,1,Single,2561,7,No,11,3,0,8,2,0,0,0,12th,2021-02-20,,Dept.Head,WFH,5,0,No,Job Event,FullTime
33,No,Travel_Rarely,Research & Development,8,Male,3,2,Healthcare Representative,3,Single,6388,2,Yes,17,3,0,14,6,0,0,0,Graduation,2021-04-06,,Work Accident,OFFICE,3,3,No,Job Portal,FullTime
18,Yes,Travel_Frequently,Sales,3,Female,3,1,Sales Representative,4,Single,1569,1,Yes,12,3,0,0,2,0,0,0,12th,2021-01-29,,Dept.Head,OFFICE,0,1,No,Recruiter,Part Time
38,No,Travel_Rarely,Research & Development,4,Female,3,1,Laboratory Technician,3,Married,3306,7,No,19,3,1,7,5,0,0,0,Post-Graduation,2021-01-25,,Dept.Head,OFFICE,2,3,Yes,Walk-in,FullTime
32,Yes,Travel_Rarely,Sales,1,Male,1,2,Sales Executive,2,Single,6735,6,No,15,3,0,10,2,0,0,0,PHD,2021-06-17,,Work Environment,WFH,1,1,Yes,Recruiter,FullTime
33,Yes,Travel_Rarely,Sales,16,Female,3,3,Sales Executive,1,Single,8564,2,Yes,20,4,0,11,2,0,0,0,Post-Graduation,2021-01-07,,Salary,OFFICE,5,1,No,Recruiter,Contract
42,No,Travel_Rarely,Research & Development,13,Male,4,2,Healthcare Representative,1,Married,5538,5,No,18,3,2,10,2,0,0,0,Post-Graduation,2021-03-02,,Work Accident,WFH,3,0,Yes,Job Event,Contract
18,No,Non-Travel,Research & Development,14,Female,3,1,Research Scientist,3,Single,1514,1,No,16,3,0,0,4,0,0,0,Graduation,2021-03-23,,Work Environment,WFH,4,3,No,Walk-in,Contract
32,No,Travel_Frequently,Sales,10,Male,3,2,Sales Executive,4,Single,4648,8,No,13,3,0,4,2,0,0,0,Post-Graduation,2021-03-20,,Work Environment,OFFICE,3,3,Yes,Walk-in,Contract
42,No,Travel_Rarely,Research & Development,8,Male,3,1,Laboratory Technician,3,Single,3968,4,No,13,3,0,8,3,0,0,0,Graduation,2021-03-09,,Better Opportunity,OFFICE,5,1,No,Job Portal,FullTime
56,No,Travel_Rarely,Sales,11,Female,2,2,Sales Executive,1,Married,5380,4,No,16,3,1,6,3,0,0,0,PHD,2021-05-30,,Better Opportunity,OFFICE,5,0,Yes,Recruiter,Contract
